name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,cloudcover,visibility,solarradiation,solarenergy,uvindex,sunrise,sunset,moonphase,conditions,description,stations,source
"Kandy, Sri Lanka",2023-01-01,82.8,58.4,70,84.1,58.4,70.1,61.5,76.1,0,0,0,,59.2,12.2,213.6,18.2,8,2023-01-01T06:19:39,2023-01-01T18:02:01,0.3,Partially cloudy,Partly cloudy throughout the day.,"43479099999,43486099999,43476099999,43444099999,43441099999,43473099999,remote",obs
"Kandy, Sri Lanka",2023-01-02,84.5,61.6,70.2,86.4,61.6,70.4,63.1,79.3,0,0,0,,63.6,14.1,213.5,18.5,7,2023-01-02T06:20:04,2023-01-02T18:02:32,0.34,Partially cloudy,Partly cloudy throughout the day.,"43479099999,43486099999,43476099999,43444099999,43441099999,43473099999,remote",obs
"Kandy, Sri Lanka",2023-01-03,82.5,61.1,69.5,84.6,61.1,69.7,64.1,84.1,0.024,100,25,rain,50.5,14.1,203.6,17.6,7,2023-01-03T06:20:29,2023-01-03T18:03:03,0.37,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,"43479099999,43486099999,43476099999,43444099999,43441099999,43473099999,remote",obs
"Kandy, Sri Lanka",2023-01-04,83.1,62.7,70.4,84.9,62.7,70.5,64.3,82.3,0.016,100,16.67,rain,80.6,14.1,209.9,18.1,8,2023-01-04T06:20:53,2023-01-04T18:03:34,0.41,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,"43479099999,43486099999,43476099999,43444099999,43441099999,43473099999,remote",obs
"Kandy, Sri Lanka",2023-01-05,85.9,65.4,72.5,89.5,65.4,72.9,66.6,82.8,0,0,0,,64.4,13.4,172.3,14.7,7,2023-01-05T06:21:16,2023-01-05T18:04:05,0.44,Partially cloudy,Partly cloudy throughout the day.,"43479099999,43486099999,43476099999,43444099999,43441099999,43473099999,remote",obs
"Kandy, Sri Lanka",2023-01-06,77.1,67.7,71.5,77.1,67.7,71.5,68.6,91,0.277,100,29.17,rain,84.9,9.8,125.1,10.9,5,2023-01-06T06:21:39,2023-01-06T18:04:36,0.48,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,"43479099999,43486099999,43476099999,43444099999,43441099999,43473099999,remote",obs
"Kandy, Sri Lanka",2023-01-07,79.6,67,70.6,79.6,67,70.6,68.2,92.2,0.366,100,25,rain,86.8,7.9,123.9,10.6,6,2023-01-07T06:22:01,2023-01-07T18:05:06,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,"43479099999,43486099999,43476099999,43444099999,43441099999,43473099999,remote",obs
"Kandy, Sri Lanka",2023-01-08,74.9,66.5,69.8,74.9,66.5,69.8,67.6,93.1,0.166,100,25,rain,94.4,10.8,132.1,11.1,5,2023-01-08T06:22:23,2023-01-08T18:05:37,0.54,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,"43479099999,43486099999,43476099999,43444099999,43441099999,43473099999,remote",obs
"Kandy, Sri Lanka",2023-01-09,80.5,64.8,70,82.7,64.8,70.1,65.6,86.7,0.016,100,16.67,rain,69.5,12.7,174.1,15.1,6,2023-01-09T06:22:43,2023-01-09T18:06:07,0.58,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,"43479099999,43486099999,43476099999,43444099999,43441099999,43473099999,remote",obs
"Kandy, Sri Lanka",2023-01-10,82,61.1,69.4,85.1,61.1,69.6,64.6,85.8,0,0,0,,59.7,13.9,203.1,17.4,6,2023-01-10T06:23:03,2023-01-10T18:06:36,0.61,Partially cloudy,Partly cloudy throughout the day.,"43479099999,43486099999,43476099999,43444099999,43441099999,43473099999,remote",obs
